DateTime;Battery;Heading;Pitch;Roll;Pressure;Temperature;AnalogIn1;AnalogIn2;Speed#1(0.130m);Dir#1(0.130m);Speed#2(0.160m);Dir#2(0.160m);Speed#3(0.190m);Dir#3(0.190m);Speed#4(0.220m);Dir#4(0.220m);Speed#5(0.250m);Dir#5(0.250m);Speed#6(0.280m);Dir#6(0.280m);Speed#7(0.310m);Dir#7(0.310m);Speed#8(0.340m);Dir#8(0.340m);Speed#9(0.370m);Dir#9(0.370m);Speed#10(0.400m);Dir#10(0.400m);Speed#11(0.430m);Dir#11(0.430m);Speed#12(0.460m);Dir#12(0.460m);Speed#13(0.490m);Dir#13(0.490m);Speed#14(0.520m);Dir#14(0.520m);Speed#15(0.550m);Dir#15(0.550m);Speed#16(0.580m);Dir#16(0.580m);Speed#17(0.610m);Dir#17(0.610m);Speed#18(0.640m);Dir#18(0.640m);Speed#19(0.670m);Dir#19(0.670m);Speed#20(0.700m);Dir#20(0.700m);Speed#21(0.730m);Dir#21(0.730m);Speed#22(0.760m);Dir#22(0.760m);Speed#23(0.790m);Dir#23(0.790m);Speed#24(0.820m);Dir#24(0.820m);Speed#25(0.850m);Dir#25(0.850m);Speed#26(0.880m);Dir#26(0.880m);Speed#27(0.910m);Dir#27(0.910m);Speed#28(0.940m);Dir#28(0.940m);Speed#29(0.970m);Dir#29(0.970m);
3/4/2022 18:46:39; 14.8; 47.3; -0.6; -3.7;  0.458; 21.48;    0;    0; 0.0670; 188.49; 0.0272; 317.98; 0.3191; 257.42; 0.0049;  78.23; 0.1873; 292.21; 0.0177; 307.19; 0.0112; 133.20; 0.0242;   5.22; 0.0081; 305.46; 0.0075; 246.50; 0.0697;  48.37; 0.0333; 243.59; 0.0482; 221.89; 0.0307; 270.93; 0.0129;  60.26; 0.0403;  69.36; 0.0577; 144.66; 0.2557; 199.02; 0.1149; 162.53; 0.0323; 155.10; 0.0083;  65.90; 0.0444; 351.58; 0.0020; 354.29; 0.0035; 168.37; 0.1408; 167.78; 0.0214; 165.64; 0.0630; 153.92; 0.1152; 167.67; 0.0798; 117.30;
3/4/2022 18:46:40; 14.8; 47.5; -0.6; -3.7;  0.457; 21.48;    0;    0; 0.1138;  90.45; 0.0776;  77.88; 0.1051;  55.46; 0.0438; 202.58; 0.0175;   9.19; 0.0473; 297.16; 0.0303; 108.49; 0.0091;  11.43; 0.0120; 267.14; 0.0102; 236.62; 0.0079; 157.66; 0.0301; 221.63; 0.0275; 273.33; 0.0249; 260.76; 0.0120; 192.06; 0.0619;  64.64; 0.0812; 195.00; 0.1990;  25.32; 0.1671; 354.81; 0.1047; 160.41; 0.0150;   5.37; 0.0137; 352.05; 0.0009; 333.43; 0.0051; 349.80; 0.0287; 351.98; 0.0462; 347.62; 0.0125;  65.48; 0.0322; 100.19; 0.0434; 175.25;
3/4/2022 18:46:41; 14.8; 47.5; -0.6; -3.7;  0.457; 21.48;    0;    0; 0.1514; 114.55; 0.0279;  69.23; 0.0370;  46.20; 0.0659;  78.89; 0.0545;  98.44; 0.0486; 295.99; 0.0085; 334.94; 0.0252;  37.10; 0.0052; 237.53; 0.0108; 248.89; 0.0034;  59.62; 0.0086; 346.61; 0.0108; 282.88; 0.0537; 120.58; 0.0893; 223.18; 0.0860; 185.88; 0.0558; 222.46; 0.1542; 167.45; 0.1415; 158.22; 0.0546; 150.01; 0.0121; 139.35; 0.0142; 160.29; 0.0010; 156.04; 0.0174; 347.08; 0.0399; 347.70; 0.0314; 345.79; 0.0275; 159.98; 0.0377; 140.91; 0.0960;  17.83;
3/4/2022 18:46:42; 14.8; 47.4; -0.6; -3.7;  0.457; 21.48;    0;    0; 0.0764; 159.72; 0.0444;  55.27; 0.0344;  79.80; 0.1683;  40.13; 0.0422;  86.87; 0.0286;  99.66; 0.0090; 318.15; 0.0295;  52.86; 0.0075; 234.20; 0.0134; 230.14; 0.0059; 191.69; 0.0929; 235.22; 0.0091; 165.96; 0.0160; 240.08; 0.0898;  40.26; 0.1236;  45.20; 0.1150; 205.99; 0.0508; 232.43; 0.1889; 167.52; 0.0433; 154.74; 0.0015; 101.31; 0.0097; 160.07; 0.0009;   0.00; 0.0152; 167.43; 0.0629; 348.82; 0.1963; 348.42; 0.0132; 113.26; 0.1343; 155.36; 0.0370; 123.86;
3/4/2022 18:46:43; 14.8; 47.6; -0.6; -3.7;  0.455; 21.48;    0;    0; 0.0346;  51.21; 0.0799; 356.27; 0.0464;  91.36; 0.1939; 242.38; 0.0886; 100.99; 0.0050; 318.27; 0.0662;  89.74; 0.0621; 227.09; 0.0040; 228.01; 0.0097; 235.49; 0.0474;  40.64; 0.1012;  49.21; 0.0320; 275.37; 0.0417; 120.26; 0.0177; 253.30; 0.1261;  41.82; 0.1946; 224.58; 0.1197;  57.86; 0.0502; 190.21; 0.0173; 103.71; 0.0236; 152.78; 0.0070;  40.96; 0.0008; 352.87; 0.0065; 168.52; 0.0398; 348.55; 0.0131; 342.26; 0.0571;   7.75; 0.0809; 319.51; 0.0680;  11.19;
3/4/2022 18:46:44; 14.8; 47.4; -0.6; -3.7;  0.459; 21.48;    0;    0; 0.0254; 245.35; 0.1012;  14.53; 0.1436; 101.86; 0.2138; 282.53; 0.0522; 274.73; 0.0256; 108.72; 0.0402;   9.16; 0.1225;  46.59; 0.0036; 226.12; 0.0077; 220.28; 0.0098; 185.25; 0.0237;  51.34; 0.0085; 267.31; 0.1451; 279.00; 0.0209; 134.42; 0.0095;  15.20; 0.0812;  38.00; 0.1141; 232.30; 0.1057;  14.69; 0.1483; 346.47; 0.0089;  36.36; 0.0489; 164.83; 0.0003;  71.57; 0.0010; 354.29; 0.0104; 346.10; 0.0202; 176.32; 0.1042; 172.66; 0.0292; 332.91; 0.0031; 239.35;
3/4/2022 18:46:45; 14.8; 47.4; -0.6; -3.7;  0.458; 21.48;    0;    0; 0.1373; 357.75; 0.2479;  65.66; 0.1580;  90.98; 0.0622;  51.27; 0.0934; 244.45; 0.0095; 352.72; 0.0257; 271.56; 0.1589; 226.84; 0.0084; 227.41; 0.0082;  33.11; 0.0246;  56.44; 0.0075; 230.39; 0.0727;  48.90; 0.0561; 262.72; 0.0578; 273.87; 0.0244; 250.38; 0.0250; 223.54; 0.0432; 251.52; 0.1470;  35.19; 0.0207; 135.98; 0.0136;  41.42; 0.0290; 154.05; 0.0007;  45.00; 0.0107; 165.96; 0.0511; 348.82; 0.0531; 166.93; 0.0621; 130.36; 0.0994; 126.78; 0.0299; 312.70;
3/4/2022 18:46:46; 14.8; 47.3; -0.6; -3.7;  0.458; 21.48;    0;    0; 0.1187; 206.67; 0.0279; 209.41; 0.1713; 261.47; 0.1219; 232.67; 0.0322; 208.80; 0.0301; 151.82; 0.0684;  66.66; 0.1109; 224.82; 0.0108; 228.37; 0.0142; 246.32; 0.0053; 137.29; 0.0333; 235.16; 0.0750; 228.62; 0.0277; 181.86; 0.0496; 274.63; 0.0383; 277.96; 0.0739; 212.96; 0.1788; 224.16; 0.1449; 211.31; 0.0226;   5.58; 0.0153;  51.63; 0.0186;   5.86; 0.0007; 254.05; 0.0162; 343.47; 0.0604; 168.63; 0.0244; 340.38; 0.0360;  11.68; 0.1418; 237.93; 0.0508; 178.99;
3/4/2022 18:46:47; 14.8; 47.3; -0.6; -3.7;  0.459; 21.48;    0;    0; 0.0512; 285.75; 0.0257;  94.02; 0.2045;  66.02; 0.1097;  52.63; 0.0814; 282.28; 0.0172; 214.80; 0.0526;  10.29; 0.0866; 224.63; 0.0064; 233.31; 0.0065; 242.65; 0.0201; 161.48; 0.0259; 268.23; 0.0350; 254.77; 0.0380; 275.89; 0.0173; 229.22; 0.1262; 227.09; 0.2038;  48.14; 0.0814;  61.39; 0.1055; 187.24; 0.0033; 148.74; 0.0250;  32.42; 0.0070; 140.83; 0.0006; 329.04; 0.0151; 168.54; 0.0010; 203.96; 0.0418; 168.69; 0.0443; 177.02; 0.0315; 145.10; 0.0413; 309.01;
3/4/2022 18:46:48; 14.8; 47.4; -0.6; -3.7;  0.461; 21.48;    0;    0; 0.0609;  31.24; 0.1369; 214.62; 0.0649; 312.19; 0.0750; 291.33; 0.0152; 240.91; 0.0937; 100.58; 0.0885;  86.37; 0.1782; 226.34; 0.0070; 227.89; 0.0148; 229.40; 0.0122; 336.80; 0.0042; 285.02; 0.0212; 248.75; 0.0818; 295.56; 0.0217; 261.80; 0.1914; 230.90; 0.0485; 234.90; 0.1094; 228.48; 0.0711; 327.23; 0.0514; 143.62; 0.0216; 125.97; 0.0017; 118.07; 0.0013; 151.39; 0.0037; 356.91; 0.0278; 165.02; 0.0047; 182.44; 0.0481; 171.26; 0.1135; 345.19; 0.0228; 215.01;
