  3   0.080   0.014   0.059  -0.011 124.0 118.0 120.0  96.0  75.0  63.0   0.061   13.35 0 0 0 0 0 0
  4   0.090  -0.038   0.035  -0.017 109.0 107.0 108.0  49.0  56.0  65.0   0.052  312.65 0 0 0 0 0 0
  5   0.100   0.039   0.014  -0.005  99.0 100.0 103.0  79.0  66.0  84.0   0.041   70.25 0 0 0 0 0 0
  6   0.110  -0.020   0.024  -0.004 100.0  96.0  99.0  82.0  64.0  81.0   0.031  320.19 0 0 0 0 0 0
  7   0.120  -0.004  -0.047   0.003 103.0  96.0  93.0  90.0  68.0  76.0   0.047  184.86 0 0 0 0 0 0
  8   0.130   0.055   0.077  -0.018 103.0  94.0  90.0  88.0  42.0  87.0   0.095   35.54 0 0 0 0 0 0
  9   0.140   0.140   0.167  -0.065 100.0  92.0  87.0  86.0  23.0  71.0   0.218   39.97 0 0 0 0 0 0
 10   0.150  -0.038  -0.024  -0.002  98.0  94.0  90.0  92.0  67.0  99.0   0.045  237.72 0 0 0 0 0 0
 11   0.160   0.058  -0.002  -0.040  89.0  96.0  92.0  40.0  23.0  60.0   0.058   91.97 0 0 0 0 0 0
 12   0.170   0.415   0.172  -0.027  84.0  93.0  89.0  24.0  34.0  83.0   0.449   67.49 0 0 0 0 0 0
 13   0.180  -0.029  -0.035  -0.013  83.0  93.0  85.0  77.0  49.0  78.0   0.045  219.64 0 0 0 0 0 0
 14   0.190  -0.177  -0.235   0.045  82.0  92.0  82.0  78.0  35.0  88.0   0.294  216.99 0 0 0 0 0 0
 15   0.200  -0.044  -0.092   0.009  81.0  91.0  82.0  71.0  18.0  88.0   0.102  205.56 0 0 0 0 0 0
 16   0.210  -0.220   0.280   0.018  79.0  91.0  78.0  43.0  31.0  17.0   0.356  321.84 0 0 0 0 0 0
 17   0.220   0.106   0.588  -0.021  76.0  90.0  75.0  60.0  17.0  52.0   0.597   10.22 0 0 0 0 0 0
 18   0.230  -0.042   0.151   0.044  75.0  89.0  71.0  40.0  15.0  15.0   0.157  344.46 0 0 0 0 0 0
 19   0.240  -0.261   0.612   0.170  81.0  92.0  67.0  36.0  66.0  10.0   0.665  336.90 0 0 0 0 0 0
03 07 2022 19 23 52.000     1  1501 00000000 01110000  13.2 1487.5  96.6   0.5  -1.9   0.636  21.74     0     0 3  19
  1   0.060   0.029  -0.028   0.018 138.0 138.0 140.0  83.0  54.0  50.0   0.040  133.99 0 0 0 0 0 0
  2   0.070  -0.251  -0.179  -0.076 125.0 127.0 130.0  20.0   7.0  32.0   0.308  234.51 0 0 0 0 0 0
  3   0.080  -0.380  -0.190   0.003 113.0 117.0 119.0  20.0  24.0  53.0   0.425  243.43 0 0 0 0 0 0
  4   0.090  -0.178   0.001  -0.031 100.0 112.0 105.0  11.0  45.0  76.0   0.178  270.32 0 0 0 0 0 0
  5   0.100   0.045   0.081   0.025  94.0 107.0  97.0  24.0  52.0  64.0   0.093   29.05 0 0 0 0 0 0
  6   0.110   0.057   0.082  -0.013  89.0 100.0 100.0  33.0  19.0  99.0   0.100   34.80 0 0 0 0 0 0
  7   0.120  -0.248  -0.140   0.062  85.0  96.0  97.0  35.0  16.0  74.0   0.285  240.55 0 0 0 0 0 0
  8   0.130   0.050   0.000  -0.011  88.0  93.0  92.0  74.0  46.0  80.0   0.050   90.00 0 0 0 0 0 0
  9   0.140   0.201   0.290  -0.080  96.0  91.0  86.0 100.0  22.0  73.0   0.353   34.73 0 0 0 0 0 0
 10   0.150   0.071  -0.085   0.002  95.0  92.0  79.0  43.0  71.0  31.0   0.111  140.13 0 0 0 0 0 0
 11   0.160   0.014  -0.006   0.008  89.0  91.0  81.0  33.0  57.0  92.0   0.015  113.20 0 0 0 0 0 0
 12   0.170   0.063  -0.080   0.030  90.0  90.0  84.0  79.0  51.0  73.0   0.102  141.78 0 0 0 0 0 0
 13   0.180  -0.051   0.007  -0.009  86.0  89.0  81.0  36.0  43.0  57.0   0.051  277.82 0 0 0 0 0 0
 14   0.190  -0.191   0.092  -0.116  83.0  87.0  78.0  10.0  35.0  65.0   0.212  295.72 0 0 0 0 0 0
 15   0.200   0.054   0.107  -0.032  80.0  85.0  75.0  16.0  29.0  82.0   0.120   26.78 0 0 0 0 0 0
 16   0.210   0.370   0.065   0.032  78.0  82.0  75.0  30.0  32.0  89.0   0.376   80.04 0 0 0 0 0 0
 17   0.220  -0.056  -0.027   0.012  78.0  82.0  73.0  55.0  68.0  62.0   0.062  244.26 0 0 0 0 0 0
 18   0.230   0.105  -0.022   0.013  76.0  92.0  72.0  38.0  82.0  63.0   0.107  101.83 0 0 0 0 0 0
 19   0.240  -0.058  -0.124   0.034  88.0  97.0  73.0  97.0  28.0  38.0   0.137  205.07 0 0 0 0 0 0
03 07 2022 19 28 52.000     1  1801 00000000 01110000  13.2 1487.5  96.7   0.4  -1.9   0.635  21.74     0     0 3  19
  1   0.060  -0.075   0.014   0.034 138.0 138.0 140.0  37.0  39.0 100.0   0.076  280.57 0 0 0 0 0 0
  2   0.070  -0.054  -0.062   0.038 136.0 130.0 131.0  87.0  24.0  95.0   0.082  221.05 0 0 0 0 0 0
  3   0.080  -0.005   0.055   0.012 142.0 126.0 124.0  99.0  91.0  76.0   0.055  354.81 0 0 0 0 0 0
  4   0.090   0.050   0.007   0.025 131.0 118.0 123.0  18.0  80.0  59.0   0.050   82.03 0 0 0 0 0 0
  5   0.100   0.073   0.016   0.027 114.0 110.0 123.0  29.0  79.0  94.0   0.075   77.64 0 0 0 0 0 0
  6   0.110   0.005   0.014  -0.003 109.0 104.0 124.0  85.0  80.0 100.0   0.015   19.65 0 0 0 0 0 0
  7   0.120  -0.020   0.020  -0.005 106.0  99.0 122.0  58.0  73.0  90.0   0.028  315.00 0 0 0 0 0 0
