"TOA5","SUSTAINpresX4X2","CR6","5764","CR6.Std.10.02","CPU:SUSTAINpressX4X2V10_0907_13Feb2019.CR6","43802","pressure"
"TIMESTAMP","RECORD","Pressure1(1)","Pressure1(2)","Pressure1(3)","Pressure1(4)","Pressure2(1)","Pressure2(2)","Pressure2(3)","Pressure2(4)"
"TS","RN","hPa","hPa","hPa","hPa","hPa","hPa","hPa","hPa"
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2022-03-07 20:00:06.7",4338081,-4.219533,-0.01456237,-8.806365E-05,-0.01575586,1017.776,886.9398,1018.521,1019.444
"2022-03-07 20:00:06.8",4338082,-4.219685,-0.01415247,-8.313904E-05,-0.01570517,1017.782,886.9315,1018.519,1019.46
"2022-03-07 20:00:06.9",4338083,-4.219471,-0.01409743,-7.763506E-05,-0.01608465,1017.804,886.9388,1018.523,1019.444
"2022-03-07 20:00:07",4338084,-4.219521,-0.01470287,-8.024221E-05,-0.01672485,1017.786,886.9448,1018.512,1019.451
"2022-03-07 20:00:07.1",4338085,-4.219649,-0.0144168,-7.705569E-05,-0.01709855,1017.793,886.9396,1018.525,1019.447
"2022-03-07 20:00:07.2",4338086,-4.219632,-0.01400473,-6.865489E-05,-0.01547777,1017.792,886.9343,1018.517,1019.433
"2022-03-07 20:00:07.3",4338087,-4.219698,-0.01462682,-5.735725E-05,-0.01603686,1017.793,886.9434,1018.512,1019.444
"2022-03-07 20:00:07.4",4338088,-4.219453,-0.01394897,-6.546838E-05,-0.01553426,1017.786,886.9424,1018.522,1019.452
"2022-03-07 20:00:07.5",4338089,-4.219526,-0.01410177,-7.792475E-05,-0.01584422,1017.793,886.9398,1018.514,1019.444
"2022-03-07 20:00:07.6",4338090,-4.219677,-0.01424662,-9.907161E-05,-0.016047,1017.782,886.9367,1018.529,1019.442
"2022-03-07 20:00:07.7",4338091,-4.219482,-0.01445012,-6.981362E-05,-0.01641779,1017.787,886.9376,1018.521,1019.444
"2022-03-07 20:00:07.8",4338092,-4.219505,-0.01393955,-5.735725E-05,-0.01588332,1017.794,886.9421,1018.511,1019.448
"2022-03-07 20:00:07.9",4338093,-4.219567,-0.01447546,-5.706757E-05,-0.01565882,1017.786,886.9469,1018.521,1019.449
"2022-03-07 20:00:08",4338094,-4.219489,-0.01416985,-8.777397E-05,-0.01573269,1017.788,886.9366,1018.509,1019.448
"2022-03-07 20:00:08.1",4338095,-4.219504,-0.01447184,-9.385731E-05,-0.01633378,1017.788,886.9453,1018.516,1019.433
"2022-03-07 20:00:08.2",4338096,-4.219488,-0.01457034,-0.0001057343,-0.01603831,1017.782,886.9423,1018.519,1019.43
"2022-03-07 20:00:08.3",4338097,-4.219407,-0.01389031,-7.300013E-05,-0.01656408,1017.791,886.9346,1018.517,1019.437
"2022-03-07 20:00:08.4",4338098,-4.219497,-0.01468693,-8.661524E-05,-0.01667995,1017.791,886.9444,1018.51,1019.433
"2022-03-07 20:00:08.5",4338099,-4.21951,-0.01464783,-8.169062E-05,-0.01614549,1017.784,886.936,1018.522,1019.432
"2022-03-07 20:00:08.6",4338100,-4.219484,-0.01440884,-7.473823E-05,-0.01496648,1017.781,886.933,1018.519,1019.433
"2022-03-07 20:00:08.7",4338101,-4.219543,-0.01509973,-8.342873E-05,-0.01598761,1017.791,886.937,1018.523,1019.434
"2022-03-07 20:00:08.8",4338102,-4.219625,-0.01439001,-7.126204E-05,-0.01641489,1017.808,886.9431,1018.509,1019.437
"2022-03-07 20:00:08.9",4338103,-4.219532,-0.01493172,-8.024221E-05,-0.01628454,1017.797,886.933,1018.513,1019.446
"2022-03-07 20:00:09",4338104,-4.219535,-0.01441898,-8.226999E-05,-0.01606148,1017.794,886.9391,1018.521,1019.437
"2022-03-07 20:00:09.1",4338105,-4.219469,-0.01473835,-7.35795E-05,-0.01582104,1017.781,886.9252,1018.511,1019.44
"2022-03-07 20:00:09.2",4338106,-4.219542,-0.01492085,-8.313904E-05,-0.0154908,1017.776,886.938,1018.527,1019.43
"2022-03-07 20:00:09.3",4338107,-4.21954,-0.01450154,-9.211922E-05,-0.01527354,1017.784,886.934,1018.526,1019.436
"2022-03-07 20:00:09.4",4338108,-4.219683,-0.01534379,-7.705569E-05,-0.015682,1017.795,886.9426,1018.523,1019.443
"2022-03-07 20:00:09.5",4338109,-4.219475,-0.01489333,-8.226999E-05,-0.01667126,1017.798,886.9326,1018.516,1019.438
"2022-03-07 20:00:09.6",4338110,-4.219504,-0.01511929,-9.327795E-05,-0.01609624,1017.786,886.9315,1018.518,1019.437
"2022-03-07 20:00:09.7",4338111,-4.219488,-0.01422199,-6.778584E-05,-0.01382223,1017.787,886.9268,1018.512,1019.44
"2022-03-07 20:00:09.8",4338112,-4.219569,-0.01465652,-7.908348E-05,-0.0136687,1017.783,886.9246,1018.519,1019.44
"2022-03-07 20:00:09.9",4338113,-4.219604,-0.01489044,-9.617478E-05,-0.01570952,1017.789,886.9184,1018.521,1019.438
"2022-03-07 20:00:10",4338114,-4.2196,-0.01447329,-6.315091E-05,-0.01474632,1017.783,886.912,1018.517,1019.438
"2022-03-07 20:00:10.1",4338115,-4.21951,-0.01387292,-5.272232E-05,-0.01494765,1017.791,886.9128,1018.512,1019.436
"2022-03-07 20:00:10.2",4338116,-4.219541,-0.01396924,-8.284936E-05,-0.01434221,1017.782,886.9075,1018.517,1019.439
"2022-03-07 20:00:10.3",4338117,-4.219431,-0.01426545,-5.735725E-05,-0.01349199,1017.787,886.9054,1018.526,1019.439
"2022-03-07 20:00:10.4",4338118,-4.219463,-0.01402718,-7.126204E-05,-0.01436828,1017.787,886.9032,1018.521,1019.442
"2022-03-07 20:00:10.5",4338119,-4.219397,-0.01408222,-8.980175E-05,-0.01473908,1017.788,886.8998,1018.518,1019.441
"2022-03-07 20:00:10.6",4338120,-4.219374,-0.01404094,-6.546838E-05,-0.01465217,1017.799,886.8969,1018.523,1019.439
"2022-03-07 20:00:10.7",4338121,-4.219451,-0.01425603,-6.749616E-05,-0.0143567,1017.801,886.8939,1018.521,1019.443
"2022-03-07 20:00:10.8",4338122,-4.219519,-0.01379978,-6.459933E-05,-0.01349634,1017.787,886.8897,1018.517,1019.435
"2022-03-07 20:00:10.9",4338123,-4.219478,-0.01395766,-8.922238E-05,-0.01347606,1017.779,886.8934,1018.521,1019.442
"2022-03-07 20:00:11",4338124,-4.219526,-0.0139859,-8.140094E-05,-0.01353834,1017.788,886.901,1018.515,1019.438
"2022-03-07 20:00:11.1",4338125,-4.219604,-0.01405832,-6.517869E-05,-0.01447257,1017.794,886.9172,1018.511,1019.431
"2022-03-07 20:00:11.2",4338126,-4.219467,-0.0139381,-7.097235E-05,-0.01476225,1017.793,886.9131,1018.518,1019.437
"2022-03-07 20:00:11.3",4338127,-4.21942,-0.01383816,-6.546838E-05,-0.01502007,1017.792,886.9127,1018.524,1019.439
"2022-03-07 20:00:11.4",4338128,-4.219382,-0.01403949,-8.458746E-05,-0.01413074,1017.794,886.907,1018.529,1019.44
"2022-03-07 20:00:11.5",4338129,-4.219523,-0.01448488,-7.097235E-05,-0.01586884,1017.784,886.9028,1018.52,1019.434
"2022-03-07 20:00:11.6",4338130,-4.219602,-0.01470214,-7.473823E-05,-0.01448995,1017.803,886.9127,1018.52,1019.439
"2022-03-07 20:00:11.7",4338131,-4.219566,-0.0146051,-7.068267E-05,-0.01536624,1017.787,886.9077,1018.521,1019.433
"2022-03-07 20:00:11.8",4338132,-4.219543,-0.0146529,-7.242077E-05,-0.01529237,1017.794,886.9213,1018.526,1019.433
"2022-03-07 20:00:11.9",4338133,-4.219728,-0.01465217,-5.735725E-05,-0.0166843,1017.791,886.9144,1018.525,1019.447
"2022-03-07 20:00:12",4338134,-4.219517,-0.01406846,-5.243264E-05,-0.01509104,1017.785,886.9106,1018.519,1019.438
"2022-03-07 20:00:12.1",4338135,-4.21957,-0.01516274,-6.749616E-05,-0.01574573,1017.793,886.9192,1018.51,1019.445
"2022-03-07 20:00:12.2",4338136,-4.219564,-0.01414016,-4.721834E-05,-0.01573414,1017.797,886.9225,1018.525,1019.454
"2022-03-07 20:00:12.3",4338137,-4.219573,-0.01482815,-5.793661E-05,-0.01619908,1017.797,886.9167,1018.531,1019.438
"2022-03-07 20:00:12.4",4338138,-4.219424,-0.01462031,-4.750802E-05,-0.01650035,1017.791,886.9175,1018.519,1019.44
"2022-03-07 20:00:12.5",4338139,-4.219442,-0.01432773,-6.604774E-05,-0.01556033,1017.8,886.9172,1018.515,1019.441
"2022-03-07 20:00:12.6",4338140,-4.219441,-0.01476298,-8.748429E-05,-0.01580366,1017.789,886.9232,1018.518,1019.451
"2022-03-07 20:00:12.7",4338141,-4.219597,-0.01420099,-7.35795E-05,-0.01496068,1017.785,886.9208,1018.513,1019.449
"2022-03-07 20:00:12.8",4338142,-4.219426,-0.01443274,-7.18414E-05,-0.01579642,1017.794,886.9277,1018.513,1019.443
"2022-03-07 20:00:12.9",4338143,-4.21945,-0.01456309,-7.53176E-05,-0.01571676,1017.796,886.9138,1018.525,1019.441
"2022-03-07 20:00:13",4338144,-4.219433,-0.01463552,-7.937316E-05,-0.01534451,1017.784,886.9164,1018.519,1019.447
"2022-03-07 20:00:13.1",4338145,-4.219735,-0.01467535,-8.864302E-05,-0.01475066,1017.782,886.9102,1018.514,1019.435
"2022-03-07 20:00:13.2",4338146,-4.219663,-0.01500848,-7.937316E-05,-0.01314003,1017.779,886.9175,1018.516,1019.437
"2022-03-07 20:00:13.3",4338147,-4.219643,-0.01463045,-9.791288E-05,-0.01342247,1017.782,886.9075,1018.526,1019.435
"2022-03-07 20:00:13.4",4338148,-4.219446,-0.01416478,-4.28731E-05,-0.01245348,1017.77,886.9096,1018.52,1019.425
"2022-03-07 20:00:13.5",4338149,-4.219494,-0.01379906,-8.284936E-05,-0.01191756,1017.766,886.9127,1018.511,1019.417
"2022-03-07 20:00:13.6",4338150,-4.219432,-0.01417057,-4.171436E-05,-0.01158298,1017.763,886.9036,1018.516,1019.421
"2022-03-07 20:00:13.7",4338151,-4.219526,-0.01490927,-5.011517E-05,-0.01195377,1017.751,886.8917,1018.505,1019.412
